Grau	Codigo	Descricao	Categoria	Data Início	Data Fim
N1	01000000	ANIMAIS VIVOS.	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N3	01010000	CAVALOS, ASININOS E MUARES, VIVOS.	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01012000	- CAVALOS:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01012100	-- REPRODUTORES DE RAÇA PURA	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01012900	-- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01013000	- ASININOS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01019000	- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N3	01020000	ANIMAIS VIVOS DA ESPÉCIE BOVINA.	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01022000	- BOVINOS DOMÉSTICOS:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01022100	-- REPRODUTORES DE RAÇA PURA	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01022110	PRENHES OU COM CRIA AO PÉ	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01022190	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01022900	-- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01022910	PARA REPRODUÇÃO	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N7	01022911	PRENHES OU COM CRIA AO PÉ	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N7	01022919	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01022990	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N4	01023000	- BÚFALOS:	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01023100	-- REPRODUTORES DE RAÇA PURA	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01023110	PRENHES OU COM CRIA AO PÉ	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01023190	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N5	01023900	-- OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01023910	PARA REPRODUÇÃO	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N7	01023911	PRENHES OU COM CRIA AO PÉ	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N7	01023919	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
N6	01023990	OUTROS	01: ANIMAIS VIVOS. 	01/04/2022	31/12/9999
