Codigo	Descricao	Categoria	Data Início	Data Fim
01	Animais vivos.	01: Animais vivos. 	01/04/2022	31/12/9999
0101	Cavalos, asininos e muares, vivos.	01: Animais vivos. 	01/04/2022	31/12/9999
01012	- Cavalos:	01: Animais vivos. 	01/04/2022	31/12/9999
01012100	-- Reprodutores de raça pura	01: Animais vivos. 	01/04/2022	31/12/9999
01012900	-- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01013000	- Asininos	01: Animais vivos. 	01/04/2022	31/12/9999
01019000	- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
0102	Animais vivos da espécie bovina.	01: Animais vivos. 	01/04/2022	31/12/9999
01022	- Bovinos domésticos:	01: Animais vivos. 	01/04/2022	31/12/9999
010221	-- Reprodutores de raça pura	01: Animais vivos. 	01/04/2022	31/12/9999
01022110	Prenhes ou com cria ao pé	01: Animais vivos. 	01/04/2022	31/12/9999
01022190	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
010229	-- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
0102291	Para reprodução	01: Animais vivos. 	01/04/2022	31/12/9999
01022911	Prenhes ou com cria ao pé	01: Animais vivos. 	01/04/2022	31/12/9999
01022919	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01022990	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01023	- Búfalos:	01: Animais vivos. 	01/04/2022	31/12/9999
010231	-- Reprodutores de raça pura	01: Animais vivos. 	01/04/2022	31/12/9999
01023110	Prenhes ou com cria ao pé	01: Animais vivos. 	01/04/2022	31/12/9999
01023190	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
010239	-- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
0102391	Para reprodução	01: Animais vivos. 	01/04/2022	31/12/9999
01023911	Prenhes ou com cria ao pé	01: Animais vivos. 	01/04/2022	31/12/9999
01023919	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01023990	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01029000	- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
0103	Animais vivos da espécie suína.	01: Animais vivos. 	01/04/2022	31/12/9999
01031000	- Reprodutores de raça pura	01: Animais vivos. 	01/04/2022	31/12/9999
01039	- Outros:	01: Animais vivos. 	01/04/2022	31/12/9999
01039100	-- De peso inferior a 50 kg	01: Animais vivos. 	01/04/2022	31/12/9999
01039200	-- De peso igual ou superior a 50 kg	01: Animais vivos. 	01/04/2022	31/12/9999
0104	Animais vivos das espécies ovina e caprina.	01: Animais vivos. 	01/04/2022	31/12/9999
010410	- Ovinos	01: Animais vivos. 	01/04/2022	31/12/9999
0104101	Reprodutores de raça pura	01: Animais vivos. 	01/04/2022	31/12/9999
01041011	Prenhes ou com cria ao pé	01: Animais vivos. 	01/04/2022	31/12/9999
01041019	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01041090	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
010420	- Caprinos	01: Animais vivos. 	01/04/2022	31/12/9999
01042010	Reprodutores de raça pura	01: Animais vivos. 	01/04/2022	31/12/9999
01042090	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
0105	Aves da espécie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.	01: Animais vivos. 	01/04/2022	31/12/9999
01051	- De peso não superior a 185 g:	01: Animais vivos. 	01/04/2022	31/12/9999
010511	-- Aves da espécie Gallus domesticus	01: Animais vivos. 	01/04/2022	31/12/9999
01051110	De linhas puras ou híbridas, para reprodução	01: Animais vivos. 	01/04/2022	31/12/9999
01051190	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01051200	-- Peruas e perus	01: Animais vivos. 	01/04/2022	31/12/9999
01051300	-- Patos	01: Animais vivos. 	01/04/2022	31/12/9999
01051400	-- Gansos	01: Animais vivos. 	01/04/2022	31/12/9999
01051500	-- Galinhas-d'angola (pintadas)	01: Animais vivos. 	01/04/2022	31/12/9999
01059	- Outros:	01: Animais vivos. 	01/04/2022	31/12/9999
01059400	-- Aves da espécie Gallus domesticus	01: Animais vivos. 	01/04/2022	31/12/9999
01059900	-- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
0106	Outros animais vivos.	01: Animais vivos. 	01/04/2022	31/12/9999
01061	- Mamíferos:	01: Animais vivos. 	01/04/2022	31/12/9999
01061100	-- Primatas	01: Animais vivos. 	01/04/2022	31/12/9999
01061200	-- Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)	01: Animais vivos. 	01/04/2022	31/12/9999
01061300	-- Camelos e outros camelídeos (Camelidae)	01: Animais vivos. 	01/04/2022	31/12/9999
01061400	-- Coelhos e lebres	01: Animais vivos. 	01/04/2022	31/12/9999
01061900	-- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01062000	- Répteis (incluindo as serpentes e as tartarugas marinhas)	01: Animais vivos. 	01/04/2022	31/12/9999
01063	- Aves:	01: Animais vivos. 	01/04/2022	31/12/9999
01063100	-- Aves de rapina	01: Animais vivos. 	01/04/2022	31/12/9999
01063200	-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)	01: Animais vivos. 	01/04/2022	31/12/9999
010633	-- Avestruzes; emus (Dromaius novaehollandiae)	01: Animais vivos. 	01/04/2022	31/12/9999
01063310	Avestruzes (Struthio camelus), para reprodução	01: Animais vivos. 	01/04/2022	31/12/9999
01063390	Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01063900	-- Outras	01: Animais vivos. 	01/04/2022	31/12/9999
01064	- Insetos:	01: Animais vivos. 	01/04/2022	31/12/9999
01064100	-- Abelhas	01: Animais vivos. 	01/04/2022	31/12/9999
01064900	-- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
01069000	- Outros	01: Animais vivos. 	01/04/2022	31/12/9999
02	Carnes e miudezas, comestíveis.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0201	Carnes de animais da espécie bovina, frescas ou refrigeradas.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02011000	- Carcaças e meias-carcaças	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
020120	- Outras peças não desossadas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02012010	Quartos dianteiros	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02012020	Quartos traseiros	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02012090	Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02013000	- Desossadas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0202	Carnes de animais da espécie bovina, congeladas.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02021000	- Carcaças e meias-carcaças	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
020220	- Outras peças não desossadas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02022010	Quartos dianteiros	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02022020	Quartos traseiros	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02022090	Outras	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02023000	- Desossadas	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
0203	Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02031	- Frescas ou refrigeradas:	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
02031100	-- Carcaças e meias-carcaças	02: Carnes e miudezas, comestíveis. 	01/04/2022	31/12/9999
